,Acceleration x (m/s^2),Acceleration y (m/s^2),Acceleration z (m/s^2),Gyroscope x (rad/s),Gyroscope y (rad/s),Gyroscope z (rad/s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Latitude (°),Longitude (°),Height (m),Velocity (m/s),Direction (°),Horizontal Accuracy (m),Vertical Accuracy (m),labelnormal,labelturnright,labelbrake,labelaccelerate,labelstop,labelturnleft,pca_1,pca_2,pca_3,pca_4,pca_5,pca_6,pca_7
0.0,-0.6993310865414486,0.0879673116665175,7.542586400811814,-0.0009144841827125125,-0.02609977994607045,0.005833362562415453,-0.2120667687436591,0.14531558562416555,0.016071010812471802,51.2725913555676,4.86752477208861,3.7061390850099984,0.0011034973949308798,171.8082695116766,7.880941407333375,0.45644522115503633,1,0,0,0,0,0,0.2953113581701645,0.31686773976420063,0.5151047941242709,-0.3366552794511169,-0.06167592699659675,0.13420536687871204,-0.26062615500781144
0.5,-0.8964252238270703,0.07433021906841827,8.023656342525275,-0.001044120972028854,-0.09016177653803419,0.007494751043597456,-0.5034804981664699,0.22413111358058135,-0.01436711688844032,51.93992987796964,4.9018815339200215,3.742949554734982,0.0003520240656592639,247.2088160019666,7.974615620826171,1.1876447546017674,1,0,0,0,0,0,0.5058104781955046,0.2491043287299026,0.4844803082536819,-0.3169302326336314,-0.0033652432235707565,0.1754832635074387,-0.2694546807364467
1.0,-1.0532458920158398,0.4462345327322508,8.442601618100323,-0.003172959998661802,-0.046354110380394935,-0.029621807958059427,-0.6563419288967453,0.5297445302021979,-0.02211081847638361,52.20539001673547,4.9152333352947375,3.754325326279294,0.00010147871024529265,263.87552361994693,8.007870112523525,2.5276082296603697,1,0,0,0,0,0,0.5958528517837678,0.320080760656873,0.4795249363965431,-0.30160172795615825,-0.015725307404001902,0.23696778898184623,-0.2997981571589302
1.5,-0.8925434718592252,0.438570174225219,9.07530349058814,0.0252701374126527,-0.08385754289373362,0.00015319712443217365,-0.07267759839773835,0.46808653407634426,0.04590005700682714,52.297857190670506,4.919754653106751,3.7762958015202845,2.8996563864588503e-05,266.9234577804445,7.02557916141501,4.033813459605145,1,0,0,0,0,0,0.6129200345094497,0.33909419037155414,0.4819650901037995,-0.27346240438638353,-0.033307405797545986,0.21288473168781136,-0.2905440531712034
2.0,-0.18860067636300937,0.6912591591396128,9.182671352300028,-0.06446981239731281,0.028406859307897853,-0.26398019838471276,0.1684443777511078,0.26443446083890787,0.003125190692952501,52.329551477542836,4.92126452209032,3.8010687179863196,8.27949928860471e-06,267.4771341903525,5.730485865168541,5.587081312141817,1,0,0,0,0,0,0.604021405286001,0.350944480083877,0.42151119573846024,-0.20851109463146275,-0.2691039482744705,0.16571812928994298,-0.2610574651831649
2.5,-0.42251897905989033,0.21843566038574042,9.419283755383521,0.024622862500006906,-0.1348106606256611,0.26618732102657294,-0.3451751933001196,-0.007879857903387522,-0.09832853081355929,52.34039203570843,4.921764250561909,4.118582875976348,0.2464990091359155,267.5776907480016,5.001863577091219,5.525358585379487,1,0,0,0,0,0,0.570985747276682,0.27572119044416293,0.4749378030169081,-0.3149574432550277,0.027400323576373696,0.06504534183448119,-0.11343911020081775
3.0,0.3070375558020817,0.11929544244018492,9.849287725631111,0.0470137066277967,0.06889911572509097,-0.0472002434270587,0.0517794769170043,0.138329167094419,-0.24484355045003214,52.34409992370551,4.921926749931525,4.514215515797989,0.5633735489142704,267.5959533059297,4.447248839762448,4.957875073537106,1,0,0,0,0,0,0.5042277774887997,0.20107108723766737,0.3979750984016326,-0.1397591612569471,-0.24165684449366379,-0.000932394314927241,-0.0660666236800758
3.5,0.3454250648798757,0.12886690435172116,10.322729938171744,0.00964137316698116,0.1004613057009939,-0.32148720137463177,0.45646090925236354,0.38951252141051756,-0.1550938866060994,52.34536562122591,4.921972669395376,4.8674191925622505,0.9360675989703164,269.7679859914103,4.17110086273093,4.550899377131815,1,0,0,0,0,0,0.46772058824669877,0.16026982569124126,0.32769682872323813,-0.02230475383693811,-0.3635581990836047,-0.06510781848636653,-0.09722094695723774
4.0,-0.4163561445656855,-0.6350238137691193,10.11560964518625,0.11412524739162128,-0.056189870183353335,-0.09460692126559223,0.3740254902732716,0.502511779693769,-0.7439833632486152,52.345798525941184,4.921979398888021,5.20930066981791,1.324698896225862,272.3311750854563,3.9804694466653796,4.194182558706183,1,0,0,0,0,0,0.44788745050378015,0.11754000949949579,0.3659727993958384,-0.011346711179568586,-0.12556017769692754,-0.15825652234947468,-0.07062936068328168
4.5,0.095005479034729,-0.34656230489022266,9.847201120915997,0.11153610112189566,-0.032281634956149434,0.07909621326029734,0.7096485789130533,0.4629224830612591,-0.776637118677507,52.34594659167016,4.9219705182695135,5.195031216362839,1.675011489112705,273.4923204776608,3.8852416409087103,3.9161847323443273,1,0,0,0,0,0,0.42717119693913497,0.08716865678453595,0.30898637641738763,-0.03233851818459272,-0.10825015572718509,-0.1870302537006293,-0.05430265435310096
